;precision;recall;f1-score;support
asphodelus;1,0;0,971;0,985;34
calicotome;0,99;0,977;0,983;298
castanea;0,986;0,995;0,991;218
ceratonia;0,913;0,95;0,931;100
ebenus;1,0;0,955;0,977;22
erica;0,984;1,0;0,992;181
eucalyptus;0,988;0,979;0,984;340
ferula;0,976;1,0;0,988;83
myrtus;0,996;1,0;0,998;786
olea;0,991;0,995;0,993;790
origanum;0,988;0,965;0,976;171
oxalis;1,0;1,0;1,0;139
pinus;1,0;1,0;1,0;29
pistacia;1,0;1,0;1,0;34
salvia;1,0;0,989;0,994;178
satureja;0,971;0,958;0,965;71
sinapis;0,979;0,97;0,974;197
thymbra;0,993;0,993;0,993;146
urginea;1,0;1,0;1,0;109
vitis;0,981;0,985;0,983;269
accuracy;0,989;0,989;0,989;0
macro avg;0,987;0,984;0,985;4195
weighted avg;0,989;0,989;0,989;4195
