Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
calicotome,0,291,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,3
castanea,0,0,217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,0,1,95,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
ebenus,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
erica,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0,3,0,0,0,2,333,0,1,0,1,0,0,0,0,0,0,0,0,0
ferula,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,0,0,0,0,0,0,0,786,0,0,0,0,0,0,0,0,0,0,0
olea,0,0,0,0,0,0,1,0,0,786,0,0,0,0,0,0,2,1,0,0
origanum,0,0,1,3,0,0,1,0,0,0,165,0,0,0,0,1,0,0,0,0
oxalis,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0
salvia,0,0,0,2,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0
satureja,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0
sinapis,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,191,0,0,0
thymbra,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,145,0,0
urginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
vitis,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,265
