,precision,recall,f1-score,support
asphodelus,1.0,1.0,1.0,3.0
calicotome,1.0,0.9629629629629629,0.9811320754716981,27.0
ceratonia,1.0,1.0,1.0,2.0
erica,1.0,1.0,1.0,18.0
eucalyptus,1.0,1.0,1.0,17.0
ferula,1.0,1.0,1.0,1.0
myrtus,1.0,1.0,1.0,78.0
olea,1.0,1.0,1.0,3.0
origanum,1.0,1.0,1.0,4.0
oxalis,0.9166666666666666,1.0,0.9565217391304348,11.0
pinus,1.0,1.0,1.0,3.0
salvia,1.0,1.0,1.0,6.0
satureja,1.0,1.0,1.0,3.0
sinapis,1.0,1.0,1.0,1.0
thymbra,1.0,1.0,1.0,8.0
vitis,1.0,1.0,1.0,1.0
accuracy,0.9946236559139785,0.9946236559139785,0.9946236559139785,0.9946236559139785
macro avg,0.9947916666666666,0.9976851851851851,0.9961033634126333,186.0
weighted avg,0.9950716845878135,0.9946236559139785,0.9946898127321001,186.0
