,file,y_true,y_pred,confidence,true_label,predicted_label,status
0,calicotome/Fab.C.vilX400wF(2016)(0)A-22.png,1,1,0.9472981,asphodelus,calicotome,Correct
1,calicotome/Fab.C.vilX400wF(2016)(0)A-9.png,1,1,0.99876606,asphodelus,calicotome,Correct
2,calicotome/Fab.C.vilX400wF(2018)(0)C-24.png,1,1,0.98221684,asphodelus,calicotome,Correct
3,castanea/Fag.C.satX400wF(781)(0)A-19.png,2,2,0.99996495,calicotome,castanea,Correct
4,castanea/Fag.C.satX400wF(781)(0)A-40.png,2,2,0.99997556,calicotome,castanea,Correct
5,castanea/Fag.C.satX400wF(781)(0)A-5.png,2,2,0.9999515,calicotome,castanea,Correct
6,castanea/Fag.C.satX400wF(782)(0)B-1.png,2,2,0.9999654,calicotome,castanea,Correct
7,castanea/Fag.C.satX400wF(782)(0)B-9.png,2,2,0.9999666,calicotome,castanea,Correct
8,castanea/Fag.C.satX400wF(784)(0)D-12.png,2,2,0.9999795,calicotome,castanea,Correct
9,castanea/Fag.C.satX400wF(784)(0)D-2.png,2,2,0.99997234,calicotome,castanea,Correct
10,castanea/Fag.C.satX400wF(784)(0)D-20.png,2,2,0.9999902,calicotome,castanea,Correct
11,castanea/Fag.C.satX400wF(785)(0)E-3.png,2,2,0.99994266,calicotome,castanea,Correct
12,castanea/Fag.C.satX400wF(786)(0)F-7.png,2,2,0.99996746,calicotome,castanea,Correct
13,castanea/Fag.C.satX400wF(792)(781)G-16.png,2,2,0.99997246,calicotome,castanea,Correct
14,castanea/Fag.C.satX400wF(792)(781)G-19.png,2,2,0.9999311,calicotome,castanea,Correct
15,castanea/Fag.C.satX400wF(792)(781)G-27.png,2,2,0.9999852,calicotome,castanea,Correct
16,castanea/Fag.C.satX400wF(792)(781)G-46.png,2,2,0.9999374,calicotome,castanea,Correct
17,castanea/Fag.C.satX400wF(792)(781)G-50.png,2,2,0.99999547,calicotome,castanea,Correct
18,castanea/Fag.C.satX400wF(793)(781)H-21.png,2,2,0.9999691,calicotome,castanea,Correct
19,castanea/Fag.C.satX400wF(793)(781)H-25.png,2,2,0.9999887,calicotome,castanea,Correct
20,castanea/Fag.C.satX400wF(793)(781)H-30.png,2,2,0.9999647,calicotome,castanea,Correct
21,castanea/Fag.C.satX400wF(793)(781)H-39.png,2,2,0.999998,calicotome,castanea,Correct
22,castanea/Fag.C.satX400wF(793)(781)H-42.png,2,2,0.9999198,calicotome,castanea,Correct
23,castanea/Fag.C.satX400wF(793)(781)H-49.png,2,2,0.99997985,calicotome,castanea,Correct
24,castanea/Fag.C.satX400wF(793)(781)H-8.png,2,2,0.99990964,calicotome,castanea,Correct
25,ceratonia/Fab.C.silX400wF(475)(0)A-13.png,3,3,0.9995585,castanea,ceratonia,Correct
26,ceratonia/Fab.C.silX400wF(476)(0)B-2.png,3,3,0.9881434,castanea,ceratonia,Correct
27,ceratonia/Fab.C.silX400wF(480)(0)F-10.png,3,3,0.9989423,castanea,ceratonia,Correct
28,ceratonia/Fab.C.silX400wF(480)(0)F-11.png,3,3,0.99997044,castanea,ceratonia,Correct
29,ceratonia/Fab.C.silX400wF(480)(0)F-12.png,3,3,0.9993529,castanea,ceratonia,Correct
30,ceratonia/Fab.C.silX400wF(481)(0)G-18.png,3,3,0.9963232,castanea,ceratonia,Correct
31,ceratonia/Fab.C.silX400wF(481)(0)G-5.png,3,3,0.99923456,castanea,ceratonia,Correct
32,ceratonia/Fab.C.silX400wF(481)(0)G-8.png,3,3,0.99974793,castanea,ceratonia,Correct
33,ebenus/Fab.E.creX400wF(695)(0)C-1.png,4,4,0.99812084,ceratonia,ebenus,Correct
34,ebenus/Fab.E.creX400wF(698)(0)F-4.png,4,4,0.9998549,ceratonia,ebenus,Correct
35,ferula/Api.F.comX400wF(2137)(0)C-4.png,7,7,0.999859,ebenus,ferula,Correct
36,ferula/Api.F.comX400wF(2137)(0)C-8.png,7,7,0.9999918,ebenus,ferula,Correct
