,precision,recall,f1-score,support
asphodelus,1.0,1.0,1.0,2.0
calicotome,1.0,1.0,1.0,28.0
ceratonia,0.0,0.0,0.0,1.0
erica,1.0,1.0,1.0,18.0
eucalyptus,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
ferula,1.0,1.0,1.0,2.0
myrtus,0.9875,1.0,0.9937106918238994,79.0
olea,1.0,0.3333333333333333,0.5,3.0
origanum,0.8571428571428571,1.0,0.9230769230769231,6.0
oxalis,1.0,1.0,1.0,14.0
pinus,1.0,1.0,1.0,3.0
salvia,1.0,1.0,1.0,5.0
satureja,1.0,1.0,1.0,4.0
thymbra,1.0,1.0,1.0,10.0
vitis,1.0,1.0,1.0,4.0
accuracy,0.9795918367346939,0.9795918367346939,0.9795918367346939,0.9795918367346939
macro avg,0.9155687830687831,0.8849673202614379,0.8887382219457691,196.0
weighted avg,0.9758493278263687,0.9795918367346939,0.9749207313030955,196.0
