,precision,recall,f1-score,support
asphodelus,1.0,1.0,1.0,2.0
calicotome,1.0,1.0,1.0,30.0
erica,1.0,1.0,1.0,17.0
eucalyptus,1.0,1.0,1.0,16.0
ferula,1.0,1.0,1.0,3.0
myrtus,1.0,1.0,1.0,79.0
origanum,1.0,1.0,1.0,5.0
oxalis,1.0,1.0,1.0,14.0
pinus,1.0,1.0,1.0,3.0
salvia,1.0,1.0,1.0,8.0
satureja,1.0,1.0,1.0,4.0
thymbra,1.0,1.0,1.0,9.0
vitis,1.0,0.6666666666666666,0.8,3.0
micro avg,1.0,0.9948186528497409,0.9974025974025974,193.0
macro avg,1.0,0.9743589743589743,0.9846153846153847,193.0
weighted avg,1.0,0.9948186528497409,0.9968911917098446,193.0
