;precision;recall;f1-score;support
asphodelus;1,0;1,0;1,0;34
calicotome;0,98;0,993;0,987;298
castanea;1,0;1,0;1,0;218
ceratonia;0,931;0,94;0,935;100
ebenus;1,0;1,0;1,0;22
erica;0,989;1,0;0,995;181
eucalyptus;0,971;0,971;0,971;170
ferula;1,0;0,988;0,994;83
myrtus;0,997;1,0;0,999;786
olea;0,994;0,994;0,994;790
origanum;0,982;0,971;0,976;171
oxalis;0,993;0,993;0,993;139
pinus;1,0;1,0;1,0;29
pistacia;1,0;1,0;1,0;34
salvia;0,994;0,989;0,992;178
satureja;1,0;0,944;0,971;71
sinapis;0,99;0,99;0,99;197
thymbra;0,993;0,993;0,993;146
urginea;1,0;1,0;1,0;109
vitis;0,989;0,985;0,987;269
accuracy;0,991;0,991;0,991;0
macro avg;0,99;0,987;0,989;4025
weighted avg;0,991;0,991;0,991;4025
