;precision;recall;f1-score;support
acrocomia_aculeta;0,972;1,0;0,986;35
anadenanthera_colubrina;1,0;1,0;1,0;35
arachis_sp;1,0;1,0;1,0;35
archontophoenix_cunninghamiana;1,0;1,0;1,0;35
arrabidaea_florida;0,971;0,971;0,971;35
aspilia_grazielae;1,0;1,0;1,0;35
bacopa_australis;1,0;0,971;0,986;35
brugmansia_suaveolens;1,0;1,0;1,0;35
caesalpinia_peltophoroides;0,972;1,0;0,986;35
caryocar_brasiliensis;1,0;1,0;1,0;35
cecropia_pachystachya;0,971;0,943;0,957;35
ceiba_speciosa;1,0;1,0;1,0;35
chromolaena_laevigata;1,0;1,0;1,0;35
cissus_campestris;0,972;1,0;0,986;35
cissus_spinosa;1,0;1,0;1,0;35
combretum_discolor;1,0;1,0;1,0;35
cordia_trichotoma;1,0;0,971;0,986;35
cosmos_caudatus;1,0;1,0;1,0;35
croton_urucurana;1,0;1,0;1,0;35
dianella_tasmanica;0,971;0,971;0,971;35
dipteryx_alata;0,919;0,971;0,944;35
doliocarpus_dentatus;0,971;0,971;0,971;35
erythrina_mulungu;1,0;1,0;1,0;35
eucalyptus_sp;0,919;0,971;0,944;35
faramea_sp;0,897;1,0;0,946;35
genipa_auniricana;1,0;0,914;0,955;35
gomphrena_sp;1,0;1,0;1,0;10
guazuma_ulmifolia;1,0;1,0;1,0;35
hortia_oreadica;1,0;1,0;1,0;35
hyptis_sp;1,0;1,0;1,0;35
ligustrum_lucidum;0,921;1,0;0,959;35
luehea_divaricata;1,0;1,0;1,0;35
mabea_fistulifera;1,0;1,0;1,0;35
machaerium_aculeatum;1,0;1,0;1,0;35
magnolia_champaca;1,0;1,0;1,0;35
manihot_esculenta;1,0;1,0;1,0;35
matayba_guianensis;1,0;0,886;0,939;35
mauritia_flexuosa;1,0;1,0;1,0;35
mimosa_ditans;0,921;1,0;0,959;35
mimosa_pigra;1,0;1,0;1,0;35
mitostemma_brevifilis;1,0;1,0;1,0;35
myracroduon_urundeuva;0,972;1,0;0,986;35
myrcia_guianensis;1,0;1,0;1,0;35
ochroma pyramidale;1,0;0,971;0,986;35
ouratea_hexasperma;1,0;1,0;1,0;35
pachira_aquatica;1,0;1,0;1,0;35
passiflora_gibertii;1,0;1,0;1,0;35
paullinia_spicata;0,971;0,943;0,957;35
piper_aduncum;1,0;1,0;1,0;35
poaceae_sp;0,938;0,857;0,896;35
protium_heptaphyllum;0,971;0,971;0,971;35
qualea_multiflora;1,0;0,943;0,971;35
ricinus_communis;0,972;1,0;0,986;35
schinus_sp;1,0;0,943;0,971;35
schizolobium_parahyba;1,0;0,971;0,986;35
senegalia_plumosa;1,0;1,0;1,0;35
serjania_erecta;0,944;0,971;0,958;35
serjania_hebecarpa;0,944;0,971;0,958;35
serjania_laruotteana;1,0;0,943;0,971;35
serjania_sp;0,972;1,0;0,986;35
sida_cerradoensis;1,0;1,0;1,0;35
solanum_sisymbriifolium;1,0;1,0;1,0;35
syagrus_romanzoffiana;0,972;1,0;0,986;35
symplocos_nitens;1,0;1,0;1,0;35
tabebuia_chysotricha;0,811;0,857;0,833;35
tabebuia_rosealba;0,903;0,8;0,848;35
tapirira_guianensis;0,972;1,0;0,986;35
tradescantia_Pallida;1,0;1,0;1,0;35
trema_micrantha;1,0;1,0;1,0;34
trembleya_phlogiformis;1,0;0,971;0,986;35
tridax_procumbens;1,0;1,0;1,0;35
vochysia_divergens;0,971;0,971;0,971;35
zea_mays;0,867;0,897;0,881;29
accuracy;0,98;0,98;0,98;0
macro avg;0,98;0,98;0,98;2523
weighted avg;0,98;0,98;0,98;2523
