Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
calicotome,0,289,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,5
castanea,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,1,0,94,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2
ebenus,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
erica,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0,0,0,0,0,0,337,0,2,0,0,0,0,0,0,0,0,0,0,1
ferula,0,0,0,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,0,1,0,0,0,2,0,783,0,0,0,0,0,0,0,0,0,0,0
olea,0,0,0,0,0,0,0,1,0,785,0,0,0,0,0,0,3,1,0,0
origanum,0,0,0,5,0,0,1,0,0,0,164,0,0,0,0,0,0,1,0,0
oxalis,0,1,0,0,0,0,0,0,0,1,0,137,0,0,0,0,0,0,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0
salvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0
satureja,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,65,0,1,0,0
sinapis,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,192,0,0,0
thymbra,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,142,0,0
urginea,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,108,0
vitis,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,264
