;precision;recall;f1-score;support
asphodelus;1,0;0,941;0,97;34
calicotome;0,976;0,966;0,971;298
castanea;0,995;1,0;0,998;218
ceratonia;0,941;0,96;0,95;100
ebenus;1,0;0,955;0,977;22
erica;0,989;1,0;0,995;181
eucalyptus;0,994;0,991;0,993;340
ferula;0,988;1,0;0,994;83
myrtus;1,0;0,997;0,999;786
olea;0,994;0,99;0,992;790
origanum;0,982;0,977;0,979;171
oxalis;0,985;0,971;0,978;139
pinus;1,0;1,0;1,0;29
pistacia;0,943;0,971;0,957;34
salvia;0,994;1,0;0,997;178
satureja;0,958;0,972;0,965;71
sinapis;0,945;0,964;0,955;197
thymbra;0,979;0,966;0,972;146
urginea;0,991;1,0;0,995;109
vitis;0,978;0,989;0,983;269
accuracy;0,987;0,987;0,987;0
macro avg;0,982;0,98;0,981;4195
weighted avg;0,987;0,987;0,987;4195
