Unnamed: 0,asphodelus,calicotome,castanea,ceratonia,ebenus,erica,eucalyptus,ferula,myrtus,olea,origanum,oxalis,pinus,pistacia,salvia,satureja,sinapis,thymbra,urginea,vitis
asphodelus,32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
calicotome,0,288,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,2,0,3
castanea,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceratonia,0,0,0,96,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ebenus,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
erica,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eucalyptus,0,2,0,0,0,1,337,0,0,0,0,0,0,0,0,0,0,0,0,0
ferula,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0
myrtus,0,2,0,0,0,0,0,0,784,0,0,0,0,0,0,0,0,0,0,0
olea,0,0,0,0,0,0,0,1,0,782,0,0,0,0,0,0,7,0,0,0
origanum,0,0,1,3,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0
oxalis,0,2,0,0,0,0,0,0,0,0,0,135,0,0,0,1,0,1,0,0
pinus,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
pistacia,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1,0,0,0
salvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,0,0,0
satureja,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
sinapis,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,190,0,0,1
thymbra,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,141,0,0
urginea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0
vitis,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,266
