file,labels,confidence
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-1.png,equatorial_eliptica,0.35509887
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-2.png,equatorial_eliptica,0.5500046
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-4.png,equatorial_circular,0.60434633
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-5.png,equatorial_eliptica,0.5811771
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-6.png,equatorial_circular,0.5568237
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-7.png,equatorial_eliptica,0.5914064
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3222)(0)A-8.png,equatorial_circular,0.75795305
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3223)(0)B-1.png,equatorial_eliptica,0.38275483
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3223)(0)B-2.png,polar_triangular,0.44918206
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3223)(0)B-3.png,polar_triangular,0.50469285
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3223)(0)B-4.png,equatorial_eliptica,0.66968006
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-10.png,polar_triangular,0.6313823
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-11.png,polar_triangular,0.93169624
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-13.png,equatorial_eliptica,0.8245051
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-3.png,equatorial_eliptica,0.35579455
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-5.png,equatorial_circular,0.34205213
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-8.png,polar_triangular,0.5008342
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3224)(0)C-9.png,equatorial_circular,0.9162296
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3225)(0)D-1.png,equatorial_eliptica,0.51683116
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3225)(0)D-2.png,equatorial_circular,0.7097208
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3225)(0)D-4.png,equatorial_alongada,0.65651
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3226)(0)E-1.png,equatorial_eliptica,0.5045666
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3226)(0)E-2.png,equatorial_eliptica,0.46352702
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3226)(0)E-4.png,equatorial_circular,0.421032
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3226)(0)E-9.png,equatorial_eliptica,0.53810304
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3227)(0)F-1.png,equatorial_circular,0.9134079
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3227)(0)F-2.png,equatorial_circular,0.92194635
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3227)(0)F-3.png,polar_triangular,0.3446411
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3227)(0)F-4.png,equatorial_circular,0.8859793
BD/BI_Cr_5/images_unlabels/unlabels/Ana.P.tereX400wF(3227)(0)F-6.png,equatorial_circular,0.7045361
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-10.png,equatorial_alongada,0.9101997
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-11.png,polar_triangular,0.94984
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-14.png,equatorial_alongada,0.86820346
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-15.png,equatorial_alongada,0.82550883
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-17.png,equatorial_alongada,0.85173756
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-18.png,equatorial_circular,0.7611975
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2135)(0)A-20.png,polar_triangular,0.52636826
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2136)(0)B-10.png,polar_triangular,0.58427876
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2136)(0)B-5.png,polar_triangular,0.5783857
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2136)(0)B-8.png,polar_triangular,0.7903926
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2136)(0)B-9.png,polar_triangular,0.7755768
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2137)(0)C-11.png,polar_triangular,0.74200255
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2137)(0)C-3.png,equatorial_alongada,0.8820953
BD/BI_Cr_5/images_unlabels/unlabels/Api.F.comX400wF(2138)(0)D-12.png,equatorial_alongada,0.75708705
